Sample Date,Test date,WRRF Name,WRRF Abbreviation,Concentration SARS-CoV-2 gene target (N1 Copies/L) ,Per capita SARS-CoV-2 load (N1 copies per day per population),Annotation,"Population Served, estimated ",Technology
09/02/2020,09/03/2020,Hunts Point,HP,,,"Concentration below Method Limit of Detection - No signal in 1 out of 3 RT-qPCR wells, result is obtained by averaging signal from the two remaining RT-qPCR wells","755,948",RT-qPCR
09/02/2020,09/03/2020,Jamaica Bay,JA,182.00,"68,976.97",Concentration below Method Limit of Quantification (above Method Limit of Detection) - This sample was analyzed in duplicate. The higher of the 2 results is reported,"748,737",RT-qPCR
09/02/2020,09/03/2020,Newtown Creek,NC,,,Concentration below Method Limit of Detection,"1,156,473",RT-qPCR
09/02/2020,09/03/2020,North River,NR,,,Analytical issue,"658,596",RT-qPCR
09/02/2020,09/03/2020,Oakwood Beach,OB,,,Analytical issue,"258,731",RT-qPCR
09/02/2020,09/03/2020,Owls Head,OH,,,Analytical issue,"906,442",RT-qPCR
09/02/2020,09/03/2020,Port Richmond,PR,,,Analytical issue,"226,167",RT-qPCR
09/02/2020,09/03/2020,Red Hook,RH,242.00,"97,941.47",Concentration below Method Limit of Quantification (above Method Limit of Detection),"224,029",RT-qPCR
09/02/2020,09/03/2020,Rockaway,RK,,,Analytical issue,"120,539",RT-qPCR
09/02/2020,09/03/2020,Tallman Island,TI,,,Possible analytical issue,"449,907",RT-qPCR
09/02/2020,09/03/2020,Wards Island,WI,,,Concentration below Method Limit of Detection,"1,201,485",RT-qPCR
09/06/2020,09/07/2020,26th Ward,26W,404.00,"231,752.79",Concentration below Method Limit of Quantification (above Method Limit of Detection),"290,608",RT-qPCR
09/06/2020,09/07/2020,Bowery Bay,BB,,,Concentration below Method Limit of Detection,"924,695",RT-qPCR
09/06/2020,09/07/2020,Coney Island,CI,,,"Concentration below Method Limit of Detection - No signal in 1 out of 3 RT-qPCR wells, result is obtained by averaging signal from the two remaining RT-qPCR wells","682,342",RT-qPCR
09/06/2020,09/07/2020,Hunts Point,HP,,,Possible analytical issue,"755,948",RT-qPCR
09/06/2020,09/07/2020,Jamaica Bay,JA,437.00,"159,201.60",Concentration below Method Limit of Quantification (above Method Limit of Detection),"748,737",RT-qPCR
09/06/2020,09/07/2020,Newtown Creek,NC,365.00,"193,670.11",Concentration below Method Limit of Quantification (above Method Limit of Detection),"1,156,473",RT-qPCR
09/06/2020,09/07/2020,North River,NR,282.00,"136,780.99",Concentration below Method Limit of Quantification (above Method Limit of Detection),"658,596",RT-qPCR
09/06/2020,09/07/2020,Oakwood Beach,OB,,,Concentration below Method Limit of Detection,"258,731",RT-qPCR
09/06/2020,09/07/2020,Owls Head,OH,227.00,"81,400.00",Concentration below Method Limit of Quantification (above Method Limit of Detection),"906,442",RT-qPCR
09/06/2020,09/07/2020,Port Richmond,PR,,,"Concentration below Method Limit of Detection - No signal in 1 out of 3 RT-qPCR wells, result is obtained by averaging signal from the two remaining RT-qPCR wells","226,167",RT-qPCR
09/06/2020,09/07/2020,Red Hook,RH,410.00,"145,601.27",Concentration below Method Limit of Quantification (above Method Limit of Detection) - This sample was analyzed in duplicate. The higher of the 2 results is reported,"224,029",RT-qPCR
09/06/2020,09/07/2020,Rockaway,RK,,,Concentration below Method Limit of Detection,"120,539",RT-qPCR
09/06/2020,09/07/2020,Tallman Island,TI,,,"Concentration below Method Limit of Detection - No signal is 2 out of 3 RT-qPCR wells, result in obtained by averaging signal from the remaining RT-qPCR well","449,907",RT-qPCR
09/06/2020,09/07/2020,Wards Island,WI,,,Analytical issue,"1,201,485",RT-qPCR
09/08/2020,09/09/2020,26th Ward,26W,499.00,"292,206.73",Concentration below Method Limit of Quantification (above Method Limit of Detection),"290,608",RT-qPCR
09/08/2020,09/09/2020,Bowery Bay,BB,951.00,"323,147.89",,"924,695",RT-qPCR
09/08/2020,09/09/2020,Coney Island,CI,"43,278.00","18,246,846.79",,"682,342",RT-qPCR
09/08/2020,09/09/2020,Hunts Point,HP,"1,582.00","958,342.09",,"755,948",RT-qPCR
09/08/2020,09/09/2020,Jamaica Bay,JA,"1,224.00","445,580.25",,"748,737",RT-qPCR
09/08/2020,09/09/2020,Newtown Creek,NC,307.00,"177,754.04",Concentration below Method Limit of Quantification (above Method Limit of Detection),"1,156,473",RT-qPCR
09/08/2020,09/09/2020,North River,NR,415.00,"227,348.08",Concentration below Method Limit of Quantification (above Method Limit of Detection),"658,596",RT-qPCR
09/08/2020,09/09/2020,Oakwood Beach,OB,539.00,"192,925.70",Concentration below Method Limit of Quantification (above Method Limit of Detection) - This sample was analyzed in duplicate. The higher of the 2 results is reported,"258,731",RT-qPCR
09/08/2020,09/09/2020,Owls Head,OH,862.00,"317,503.95",,"906,442",RT-qPCR
09/08/2020,09/09/2020,Port Richmond,PR,"1,059.00","386,247.10",,"226,167",RT-qPCR
09/08/2020,09/09/2020,Red Hook,RH,478.00,"185,838.33",Concentration below Method Limit of Quantification (above Method Limit of Detection),"224,029",RT-qPCR
09/08/2020,09/09/2020,Rockaway,RK,270.00,"161,117.90",Concentration below Method Limit of Quantification (above Method Limit of Detection),"120,539",RT-qPCR
09/08/2020,09/09/2020,Tallman Island,TI,750.00,"309,032.77",,"449,907",RT-qPCR
09/08/2020,09/09/2020,Wards Island,WI,"1,065.00","623,856.31",,"1,201,485",RT-qPCR
09/13/2020,09/14/2020,26th Ward,26W,,,Possible analytical issue,"290,608",RT-qPCR
09/13/2020,09/14/2020,Bowery Bay,BB,"1,278.00","471,008.06",,"924,695",RT-qPCR
09/13/2020,09/14/2020,Coney Island,CI,"16,954.00","8,182,822.51",This sample was analyzed in duplicate. The higher of the 2 results is reported,"682,342",RT-qPCR
09/13/2020,09/14/2020,Hunts Point,HP,492.00,"297,884.18",Concentration below Method Limit of Quantification (above Method Limit of Detection),"755,948",RT-qPCR
09/13/2020,09/14/2020,Jamaica Bay,JA,470.00,"178,159.38",Concentration below Method Limit of Quantification (above Method Limit of Detection),"748,737",RT-qPCR
09/13/2020,09/14/2020,Newtown Creek,NC,,,Concentration below Method Limit of Detection,"1,156,473",RT-qPCR
09/13/2020,09/14/2020,North River,NR,,,Concentration below Method Limit of Detection,"658,596",RT-qPCR
09/13/2020,09/14/2020,Oakwood Beach,OB,227.00,"86,502.52",Concentration below Method Limit of Quantification (above Method Limit of Detection),"258,731",RT-qPCR
09/13/2020,09/14/2020,Owls Head,OH,,,Concentration below Method Limit of Detection,"906,442",RT-qPCR
09/13/2020,09/14/2020,Port Richmond,PR,,,Concentration below Method Limit of Detection,"226,167",RT-qPCR
09/13/2020,09/14/2020,Red Hook,RH,450.00,"175,028.67",Concentration below Method Limit of Quantification (above Method Limit of Detection),"224,029",RT-qPCR
09/13/2020,09/14/2020,Rockaway,RK,226.00,"155,806.96",Concentration below Method Limit of Quantification (above Method Limit of Detection),"120,539",RT-qPCR
09/13/2020,09/14/2020,Tallman Island,TI,,,Possible analytical issue,"449,907",RT-qPCR
09/13/2020,09/14/2020,Wards Island,WI,394.00,"229,809.11",Concentration below Method Limit of Quantification (above Method Limit of Detection),"1,201,485",RT-qPCR
09/15/2020,09/16/2020,26th Ward,26W,524.00,"307,000.21",Concentration below Method Limit of Quantification (above Method Limit of Detection),"290,608",RT-qPCR
09/15/2020,09/16/2020,Bowery Bay,BB,972.00,"342,045.42",,"924,695",RT-qPCR
09/15/2020,09/16/2020,Coney Island,CI,"1,370.00","600,528.29",,"682,342",RT-qPCR
09/15/2020,09/16/2020,Hunts Point,HP,"1,050.00","609,928.65",,"755,948",RT-qPCR
09/15/2020,09/16/2020,Jamaica Bay,JA,497.00,"185,852.12",Concentration below Method Limit of Quantification (above Method Limit of Detection),"748,737",RT-qPCR
09/15/2020,09/16/2020,Newtown Creek,NC,739.00,"418,405.52",,"1,156,473",RT-qPCR
09/15/2020,09/16/2020,North River,NR,248.00,"132,375.39",Concentration below Method Limit of Quantification (above Method Limit of Detection) - This sample was analyzed in duplicate. The higher of the 2 results is reported,"658,596",RT-qPCR
09/15/2020,09/16/2020,Oakwood Beach,OB,286.00,"106,099.04",Concentration below Method Limit of Quantification (above Method Limit of Detection),"258,731",RT-qPCR
09/15/2020,09/16/2020,Owls Head,OH,"2,693.00","978,422.37",,"906,442",RT-qPCR
09/15/2020,09/16/2020,Port Richmond,PR,247.00,"95,790.46",Concentration below Method Limit of Quantification (above Method Limit of Detection),"226,167",RT-qPCR
09/15/2020,09/16/2020,Red Hook,RH,275.00,"107,058.65",Concentration below Method Limit of Quantification (above Method Limit of Detection),"224,029",RT-qPCR
09/15/2020,09/16/2020,Rockaway,RK,,,Analytical issue,"120,539",RT-qPCR
09/15/2020,09/16/2020,Tallman Island,TI,264.00,"111,188.74",Concentration below Method Limit of Quantification (above Method Limit of Detection),"449,907",RT-qPCR
09/15/2020,09/16/2020,Wards Island,WI,316.00,"182,907.37",Concentration below Method Limit of Quantification (above Method Limit of Detection),"1,201,485",RT-qPCR
09/20/2020,09/21/2020,26th Ward,26W,432.00,"264,300.24",Concentration below Method Limit of Quantification (above Method Limit of Detection),"290,608",RT-qPCR
09/20/2020,09/21/2020,Bowery Bay,BB,"1,425.00","536,848.07",,"924,695",RT-qPCR
09/20/2020,09/21/2020,Coney Island,CI,"18,543.00","8,332,566.57",,"682,342",RT-qPCR
09/20/2020,09/21/2020,Hunts Point,HP,568.00,"338,284.96",Concentration below Method Limit of Quantification (above Method Limit of Detection),"755,948",RT-qPCR
09/20/2020,09/21/2020,Jamaica Bay,JA,801.00,"303,807.68",,"748,737",RT-qPCR
09/20/2020,09/21/2020,Newtown Creek,NC,834.00,"442,147.50",,"1,156,473",RT-qPCR
09/20/2020,09/21/2020,North River,NR,991.00,"495,392.42",,"658,596",RT-qPCR
09/20/2020,09/21/2020,Oakwood Beach,OB,644.00,"224,143.65",,"258,731",RT-qPCR
09/20/2020,09/21/2020,Owls Head,OH,"2,762.00","1,003,589.88",This sample was analyzed in duplicate. The higher of the 2 results is reported,"906,442",RT-qPCR
09/20/2020,09/21/2020,Port Richmond,PR,850.00,"311,518.34",,"226,167",RT-qPCR
09/20/2020,09/21/2020,Red Hook,RH,,,Concentration below Method Limit of Detection,"224,029",RT-qPCR
09/20/2020,09/21/2020,Rockaway,RK,628.00,"414,198.77",,"120,539",RT-qPCR
09/20/2020,09/21/2020,Tallman Island,TI,,,Possible analytical issue,"449,907",RT-qPCR
09/20/2020,09/21/2020,Wards Island,WI,"1,250.00","681,430.89",,"1,201,485",RT-qPCR
09/22/2020,09/23/2020,26th Ward,26W,835.00,"478,592.94",,"290,608",RT-qPCR
09/22/2020,09/23/2020,Bowery Bay,BB,289.00,"106,548.55",Concentration below Method Limit of Quantification (above Method Limit of Detection),"924,695",RT-qPCR
09/22/2020,09/23/2020,Coney Island,CI,271.00,"124,715.69",Concentration below Method Limit of Quantification (above Method Limit of Detection),"682,342",RT-qPCR
09/22/2020,09/23/2020,Hunts Point,HP,293.00,"168,601.97",Concentration below Method Limit of Quantification (above Method Limit of Detection),"755,948",RT-qPCR
09/22/2020,09/23/2020,Jamaica Bay,JA,"4,625.00","1,660,004.08",,"748,737",RT-qPCR
09/22/2020,09/23/2020,Newtown Creek,NC,413.00,"252,656.45",Concentration below Method Limit of Quantification (above Method Limit of Detection),"1,156,473",RT-qPCR
09/22/2020,09/23/2020,North River,NR,,,Concentration below Method Limit of Detection,"658,596",RT-qPCR
09/22/2020,09/23/2020,Oakwood Beach,OB,"1,525.00","533,314.77",This sample was analyzed in duplicate. The higher of the 2 results is reported,"258,731",RT-qPCR
09/22/2020,09/23/2020,Owls Head,OH,"1,011.00","363,225.41",,"906,442",RT-qPCR
09/22/2020,09/23/2020,Port Richmond,PR,,,"Concentration below Method Limit of DetectionNo signal is 2 out of 3 RT-qPCR wells, result in obtained by averaging signal from the remaining RT-qPCR well","226,167",RT-qPCR
09/22/2020,09/23/2020,Red Hook,RH,,,Concentration below Method Limit of Detection,"224,029",RT-qPCR
09/22/2020,09/23/2020,Rockaway,RK,,,Concentration below Method Limit of Detection,"120,539",RT-qPCR
09/22/2020,09/23/2020,Tallman Island,TI,259.00,"104,720.08",Concentration below Method Limit of Quantification (above Method Limit of Detection),"449,907",RT-qPCR
09/22/2020,09/23/2020,Wards Island,WI,,,Concentration below Method Limit of Detection,"1,201,485",RT-qPCR
09/27/2020,09/30/2020,26th Ward,26W,"1,960.00","1,225,721.17","Original RT-qPCR (9/28/2020) failed, RT-qPCR repeated","290,608",RT-qPCR
09/27/2020,09/28/2020,Bowery Bay,BB,"1,416.00","515,818.51",,"924,695",RT-qPCR
09/27/2020,09/28/2020,Coney Island,CI,"1,714.00","874,981.67",,"682,342",RT-qPCR
09/27/2020,09/28/2020,Hunts Point,HP,781.00,"473,361.55",,"755,948",RT-qPCR
09/27/2020,09/28/2020,Jamaica Bay,JA,753.00,"289,294.02",This sample was analyzed in duplicate. The higher of the 2 results is reported,"748,737",RT-qPCR
09/27/2020,09/28/2020,Newtown Creek,NC,"1,007.00","566,921.05",,"1,156,473",RT-qPCR
09/27/2020,09/30/2020,North River,NR,"1,066.00","508,342.86","Original RT-qPCR (9/28/2020) failed, RT-qPCR repeated","658,596",RT-qPCR
09/27/2020,09/28/2020,Oakwood Beach,OB,646.00,"226,738.63","No signal in 1 out of 3 RT-qPCR wells, result is obtained by averaging signal from the two remaining RT-qPCR wells","258,731",RT-qPCR
09/27/2020,09/30/2020,Owls Head,OH,"5,174.00","1,922,967.25","Original RT-qPCR (9/28/2020) failed, RT-qPCR repeated","906,442",RT-qPCR
09/27/2020,09/28/2020,Port Richmond,PR,"1,715.00","657,329.59",,"226,167",RT-qPCR
09/27/2020,09/28/2020,Red Hook,RH,214.00,"83,309.75",Concentration below Method Limit of Quantification (above Method Limit of Detection),"224,029",RT-qPCR
09/27/2020,09/28/2020,Rockaway,RK,,,Analytical issue,"120,539",RT-qPCR
09/27/2020,09/30/2020,Tallman Island,TI,416.00,"182,097.51","Concentration below Method Limit of Quantification (above Method Limit of Detection) - Original RT-qPCR (9/28/2020) failed, RT-qPCR repeated","449,907",RT-qPCR
09/27/2020,09/28/2020,Wards Island,WI,,,Analytical issue,"1,201,485",RT-qPCR
09/29/2020,09/30/2020,26th Ward,26W,,,This result is not useable (because associated with contaminated method blank),"290,608",RT-qPCR
09/29/2020,09/30/2020,Bowery Bay,BB,,,This result is not useable (because associated with contaminated method blank),"924,695",RT-qPCR
09/29/2020,09/30/2020,Coney Island,CI,,,This result is not useable (because associated with contaminated method blank),"682,342",RT-qPCR
09/29/2020,09/30/2020,Hunts Point,HP,,,This result is not useable (because associated with contaminated method blank),"755,948",RT-qPCR
09/29/2020,09/30/2020,Jamaica Bay,JA,,,This result is not useable (because associated with contaminated method blank),"748,737",RT-qPCR
09/29/2020,09/30/2020,Newtown Creek,NC,,,This result is not useable (because associated with contaminated method blank),"1,156,473",RT-qPCR
09/29/2020,09/30/2020,North River,NR,,,This result is not useable (because associated with contaminated method blank),"658,596",RT-qPCR
09/29/2020,09/30/2020,Oakwood Beach,OB,,,This result is not useable (because associated with contaminated method blank),"258,731",RT-qPCR
09/29/2020,09/30/2020,Owls Head,OH,,,This result is not useable (because associated with contaminated method blank),"906,442",RT-qPCR
09/29/2020,09/30/2020,Port Richmond,PR,,,This result is not useable (because associated with contaminated method blank),"226,167",RT-qPCR
09/29/2020,09/30/2020,Red Hook,RH,,,This result is not useable (because associated with contaminated method blank),"224,029",RT-qPCR
09/29/2020,09/30/2020,Rockaway,RK,,,This result is not useable (because associated with contaminated method blank),"120,539",RT-qPCR
09/29/2020,09/30/2020,Tallman Island,TI,,,This result is not useable (because associated with contaminated method blank),"449,907",RT-qPCR
09/29/2020,09/30/2020,Wards Island,WI,,,This result is not useable (because associated with contaminated method blank),"1,201,485",RT-qPCR
10/04/2020,10/05/2020,26th Ward,26W,,,This result is not useable (because associated with contaminated method blank),"290,608",RT-qPCR
10/04/2020,10/05/2020,Bowery Bay,BB,,,This result is not useable (because associated with contaminated method blank),"924,695",RT-qPCR
10/04/2020,10/05/2020,Coney Island,CI,,,This result is not useable (because associated with contaminated method blank),"682,342",RT-qPCR
10/04/2020,10/05/2020,Hunts Point,HP,,,This result is not useable (because associated with contaminated method blank),"755,948",RT-qPCR
10/04/2020,10/05/2020,Jamaica Bay,JA,,,This result is not useable (because associated with contaminated method blank),"748,737",RT-qPCR
10/04/2020,10/05/2020,Newtown Creek,NC,,,This result is not useable (because associated with contaminated method blank),"1,156,473",RT-qPCR
10/04/2020,10/05/2020,North River,NR,,,This result is not useable (because associated with contaminated method blank),"658,596",RT-qPCR
10/04/2020,10/05/2020,Oakwood Beach,OB,,,This result is not useable (because associated with contaminated method blank),"258,731",RT-qPCR
10/04/2020,10/05/2020,Owls Head,OH,,,This result is not useable (because associated with contaminated method blank),"906,442",RT-qPCR
10/04/2020,10/05/2020,Port Richmond,PR,,,This result is not useable (because associated with contaminated method blank),"226,167",RT-qPCR
10/04/2020,10/05/2020,Red Hook,RH,,,This result is not useable (because associated with contaminated method blank),"224,029",RT-qPCR
10/04/2020,10/05/2020,Rockaway,RK,,,This result is not useable (because associated with contaminated method blank),"120,539",RT-qPCR
10/04/2020,10/05/2020,Tallman Island,TI,,,This result is not useable (because associated with contaminated method blank),"449,907",RT-qPCR
10/04/2020,10/05/2020,Wards Island,WI,,,This result is not useable (because associated with contaminated method blank),"1,201,485",RT-qPCR
10/06/2020,10/07/2020,26th Ward,26W,"1,169.00","700,363.25",,"290,608",RT-qPCR
10/06/2020,10/07/2020,Bowery Bay,BB,"2,800.00","962,833.17",,"924,695",RT-qPCR
10/06/2020,10/07/2020,Coney Island,CI,"7,238.00","3,252,567.31",,"682,342",RT-qPCR
10/06/2020,10/07/2020,Hunts Point,HP,"1,051.00","605,349.79",,"755,948",RT-qPCR
10/06/2020,10/07/2020,Jamaica Bay,JA,"1,317.00","480,739.77",,"748,737",RT-qPCR
10/06/2020,10/07/2020,Newtown Creek,NC,"1,448.00","796,369.86",,"1,156,473",RT-qPCR
10/06/2020,10/07/2020,North River,NR,823.00,"411,788.37",This sample was analyzed in duplicate. The higher of the 2 results is reported,"658,596",RT-qPCR
10/06/2020,10/07/2020,Oakwood Beach,OB,"3,108.00","1,045,725.63",,"258,731",RT-qPCR
10/06/2020,10/07/2020,Owls Head,OH,"5,824.00","2,140,225.10",,"906,442",RT-qPCR
10/06/2020,10/07/2020,Port Richmond,PR,"1,403.00","523,687.55",,"226,167",RT-qPCR
10/06/2020,10/07/2020,Red Hook,RH,878.00,"326,459.68",,"224,029",RT-qPCR
10/06/2020,10/07/2020,Rockaway,RK,"1,055.00","695,748.53",,"120,539",RT-qPCR
10/06/2020,10/07/2020,Tallman Island,TI,586.00,"246,662.72",Concentration below Method Limit of Quantification (above Method Limit of Detection),"449,907",RT-qPCR
10/06/2020,10/07/2020,Wards Island,WI,"1,152.00","613,593.50",,"1,201,485",RT-qPCR
10/11/2020,10/12/2020,26th Ward,26W,569.00,"370,574.71",Concentration below Method Limit of Quantification (above Method Limit of Detection),"290,608",RT-qPCR
10/11/2020,10/12/2020,Bowery Bay,BB,"3,340.00","1,175,791.45",,"924,695",RT-qPCR
10/11/2020,10/12/2020,Coney Island,CI,"1,661.00","718,641.23",,"682,342",RT-qPCR
10/11/2020,10/12/2020,Hunts Point,HP,846.00,"495,520.01",,"755,948",RT-qPCR
10/11/2020,10/12/2020,Jamaica Bay,JA,"1,570.00","582,974.41",This sample was analyzed in duplicate. The higher of the 2 results is reported,"748,737",RT-qPCR
10/11/2020,10/12/2020,Newtown Creek,NC,682.00,"385,987.42",,"1,156,473",RT-qPCR
10/11/2020,10/12/2020,North River,NR,333.00,"170,555.88",Concentration below Method Limit of Quantification (above Method Limit of Detection),"658,596",RT-qPCR
10/11/2020,10/12/2020,Oakwood Beach,OB,"2,106.00","730,213.25",,"258,731",RT-qPCR
10/11/2020,10/12/2020,Owls Head,OH,"6,038.00","2,546,635.48",,"906,442",RT-qPCR
10/11/2020,10/12/2020,Port Richmond,PR,"1,489.00","573,163.13",,"226,167",RT-qPCR
10/11/2020,10/12/2020,Red Hook,RH,,,Concentration below Method Limit of Detection,"224,029",RT-qPCR
10/11/2020,10/12/2020,Rockaway,RK,"1,078.00","609,497.72",,"120,539",RT-qPCR
10/11/2020,10/12/2020,Tallman Island,TI,626.00,"279,048.57",,"449,907",RT-qPCR
10/11/2020,10/12/2020,Wards Island,WI,600.00,"321,472.73",,"1,201,485",RT-qPCR
10/13/2020,10/14/2020,26th Ward,26W,"1,351.00","862,479.09","No signal in 1 out of 3 RT-qPCR wells, result is obtained by averaging signal from the two remaining RT-qPCR wells","290,608",RT-qPCR
10/13/2020,10/14/2020,Bowery Bay,BB,"2,338.00","1,244,365.68",,"924,695",RT-qPCR
10/13/2020,10/14/2020,Coney Island,CI,"13,884.00","7,009,292.66",,"682,342",RT-qPCR
10/13/2020,10/14/2020,Hunts Point,HP,"1,822.00","1,414,059.02",,"755,948",RT-qPCR
10/13/2020,10/14/2020,Jamaica Bay,JA,"2,170.00","866,719.84",,"748,737",RT-qPCR
10/13/2020,10/14/2020,Newtown Creek,NC,"2,102.00","1,417,415.71",,"1,156,473",RT-qPCR
10/13/2020,10/14/2020,North River,NR,"1,011.00","610,378.22",,"658,596",RT-qPCR
10/13/2020,10/14/2020,Oakwood Beach,OB,"1,713.00","794,402.88",,"258,731",RT-qPCR
10/13/2020,10/14/2020,Owls Head,OH,"4,672.00","1,892,693.36",This sample was analyzed in duplicate. The higher of the 2 results is reported,"906,442",RT-qPCR
10/13/2020,10/14/2020,Port Richmond,PR,"2,006.00","1,051,117.01",,"226,167",RT-qPCR
10/13/2020,10/14/2020,Red Hook,RH,"1,295.00","634,501.17",,"224,029",RT-qPCR
10/13/2020,10/14/2020,Rockaway,RK,"1,044.00","688,572.55",,"120,539",RT-qPCR
10/13/2020,10/14/2020,Tallman Island,TI,540.00,"309,194.91",Concentration below Method Limit of Quantification (above Method Limit of Detection),"449,907",RT-qPCR
10/13/2020,10/14/2020,Wards Island,WI,"2,066.00","1,334,360.17",,"1,201,485",RT-qPCR
10/18/2020,10/19/2020,26th Ward,26W,589.00,"360,573.93",Concentration below Method Limit of Quantification (above Method Limit of Detection) - Associated method blank contaminated; singal in the sample significantly higher than in the method blank,"290,608",RT-qPCR
10/18/2020,10/19/2020,Bowery Bay,BB,"3,925.00","1,542,556.98",Associated method blank contaminated; singal in the sample significantly higher than in the method blank,"924,695",RT-qPCR
10/18/2020,10/19/2020,Coney Island,CI,"2,615.00","1,204,084.90",Associated method blank contaminated; singal in the sample significantly higher than in the method blank,"682,342",RT-qPCR
10/18/2020,10/19/2020,Hunts Point,HP,"2,565.00","1,502,723.13",Associated method blank contaminated; singal in the sample significantly higher than in the method blank,"755,948",RT-qPCR
10/18/2020,10/19/2020,Jamaica Bay,JA,"1,313.00","519,384.23",Associated method blank contaminated; singal in the sample significantly higher than in the method blank,"748,737",RT-qPCR
10/18/2020,10/19/2020,Newtown Creek,NC,"6,101.00","3,354,708.66",Associated method blank contaminated; singal in the sample significantly higher than in the method blank,"1,156,473",RT-qPCR
10/18/2020,10/19/2020,North River,NR,"1,479.00","765,260.92",Associated method blank contaminated; singal in the sample significantly higher than in the method blank,"658,596",RT-qPCR
10/18/2020,10/19/2020,Oakwood Beach,OB,"1,793.00","748,299.60",Associated method blank contaminated; singal in the sample significantly higher than in the method blank,"258,731",RT-qPCR
10/18/2020,10/19/2020,Owls Head,OH,"7,750.00","2,815,674.50",Associated method blank contaminated; singal in the sample significantly higher than in the method blank,"906,442",RT-qPCR
10/18/2020,10/19/2020,Port Richmond,PR,"1,229.00","514,245.91",Associated method blank contaminated; singal in the sample significantly higher than in the method blank,"226,167",RT-qPCR
10/18/2020,10/19/2020,Red Hook,RH,"1,850.00","656,558.66",This sample was analyzed in duplicate. The higher of the 2 results is reported - Associated method blank contaminated; singal in the sample significantly higher than in the method blank,"224,029",RT-qPCR
10/18/2020,10/19/2020,Rockaway,RK,262.00,"180,885.72",Concentration below Method Limit of Quantification (above Method Limit of Detection) - Associated method blank contaminated; singal in the sample significantly higher than in the method blank,"120,539",RT-qPCR
10/18/2020,10/19/2020,Tallman Island,TI,608.00,"327,256.35",Associated method blank contaminated; singal in the sample significantly higher than in the method blank,"449,907",RT-qPCR
10/18/2020,10/19/2020,Wards Island,WI,444.00,"243,663.22",Concentration below Method Limit of Quantification (above Method Limit of Detection) - Associated method blank contaminated; singal in the sample significantly higher than in the method blank,"1,201,485",RT-qPCR
10/20/2020,10/21/2020,26th Ward,26W,"1,754.00","1,668,238.66",,"290,608",RT-qPCR
10/20/2020,10/21/2020,Bowery Bay,BB,"4,378.00","1,577,173.20",,"924,695",RT-qPCR
10/20/2020,10/21/2020,Coney Island,CI,"2,453.00","1,088,640.01",,"682,342",RT-qPCR
10/20/2020,10/21/2020,Hunts Point,HP,"2,303.00","1,280,065.10",,"755,948",RT-qPCR
10/20/2020,10/21/2020,Jamaica Bay,JA,"3,808.00","1,420,015.48",,"748,737",RT-qPCR
10/20/2020,10/21/2020,Newtown Creek,NC,"5,293.00","2,979,664.88",This sample was analyzed in duplicate. The higher of the 2 results is reported,"1,156,473",RT-qPCR
